Galaxy,Source No.,RA,Dec
LMC,1,05 20 32.97,-69 24 52.32
,2,05 20 38.33,-69 25 19.16
,3,05 20 40.73,-69 25 00.44
,4,05 20 45.40,-69 23 48.54
,5,05 20 49.11,-69 23 39.78
,6,05 20 49.86,-69 26 01.55
,7,05 20 50.66,-69 24 06.24
,8,05 20 50.67,-69 26 26.23
,9,05 20 52.33,-69 25 04.94
,10,05 20 52.77,-69 24 16.76
,11,05 20 53.08,-69 27 58.71
,12,05 20 53.38,-69 25 57.69
,13,05 20 53.40,-69 26 05.56
,14,05 20 53.58,-69 26 51.83
,15,05 20 56.29,-69 24 51.52
,16,05 20 56.92,-69 22 32.82
,17,05 20 56.96,-69 25 15.69
,18,05 20 59.39,-69 25 54.77
,19,05 20 59.45,-69 28 24.85
,20,05 21 01.48,-69 23 34.47
,21,05 21 03.80,-69 25 07.91
,22,05 21 04.91,-69 25 12.44
,23,05 21 05.61,-69 23 53.52
,24,05 21 06.29,-69 27 50.01
,25,05 21 06.37,-69 27 10.41
,26,05 21 07.45,-69 27 07.30
,27,05 21 07.90,-69 27 45.22
,28,05 21 10.96,-69 23 59.38
,29,05 21 11.16,-69 27 01.70
,30,05 21 11.44,-69 24 10.49
,31,05 21 14.76,-69 28 35.98
,32,05 21 16.28,-69 22 03.45
,33,05 21 16.29,-69 28 56.03
,34,05 21 16.41,-69 20 14.23
,35,05 21 17.34,-69 20 45.31
,36,05 21 19.70,-69 25 26.94
,37,05 21 19.76,-69 26 33.70
,38,05 21 20.15,-69 26 20.85
,39,05 21 20.26,-69 22 13.37
,40,05 21 22.13,-69 22 10.81
,41,05 21 23.07,-69 27 02.91
,42,05 21 23.77,-69 22 56.70
,43,05 21 24.08,-69 29 22.15
,44,05 21 24.17,-69 23 03.12
,45,05 21 24.23,-69 23 28.72
,46,05 21 24.38,-69 22 36.08
,47,05 21 25.74,-69 26 11.21
,48,05 21 26.38,-69 21 31.04
,49,05 21 28.18,-69 22 31.78
,50,05 21 29.74,-69 26 17.66
,51,05 21 29.88,-69 21 43.61
,52,05 21 29.95,-69 21 50.26
,53,05 21 30.32,-69 28 58.85
,54,05 21 31.08,-69 26 56.14
,55,05 21 31.42,-69 25 24.65
,56,05 21 31.84,-69 26 50.79
,57,05 21 32.79,-69 21 52.60
,58,05 21 33.59,-69 22 04.31
,59,05 21 34.48,-69 27 35.76
,60,05 21 34.70,-69 20 56.98
,61,05 21 35.22,-69 27 38.52
,62,05 21 36.32,-69 20 42.34
,63,05 21 36.45,-69 21 04.25
,64,05 21 37.62,-69 28 24.95
,65,05 21 38.35,-69 22 02.86
,66,05 21 38.84,-69 23 38.18
,67,05 21 39.44,-69 23 59.38
,68,05 21 39.56,-69 23 47.09
,69,05 21 40.26,-69 30 38.98
,70,05 21 40.35,-69 25 01.20
,71,05 21 40.52,-69 30 32.10
,72,05 21 41.02,-69 23 07.59
,73,05 21 41.12,-69 22 08.80
,74,05 21 41.46,-69 26 51.99
,75,05 21 42.50,-69 29 12.54
,76,05 21 43.04,-69 24 49.34
,77,05 21 45.13,-69 31 16.96
,78,05 21 47.00,-69 30 06.73
,79,05 21 48.13,-69 26 18.75
,80,05 21 48.81,-69 30 17.27
,81,05 21 49.51,-69 29 56.08
,82,05 21 49.73,-69 23 20.75
,83,05 21 51.06,-69 27 19.48
,84,05 21 51.39,-69 26 43.82
,85,05 21 51.96,-69 26 19.51
,86,05 21 52.76,-69 24 42.39
,87,05 21 53.33,-69 27 29.72
,88,05 21 54.15,-69 31 11.92
,89,05 21 56.34,-69 23 08.40
,90,05 21 59.42,-69 29 03.36
,91,05 22 00.20,-69 28 50.62
,92,05 22 00.26,-69 31 52.30
,93,05 22 00.32,-69 24 37.72
,94,05 22 00.79,-69 29 55.60
,95,05 22 01.06,-69 24 20.30
,96,05 22 03.11,-69 31 29.07
,97,05 22 03.82,-69 32 04.71
,98,05 22 03.92,-69 26 37.27
,99,05 22 04.16,-69 30 38.13
,100,05 22 04.32,-69 28 29.72
,101,05 22 05.91,-69 30 29.88
,102,05 22 07.62,-69 29 59.48
,103,05 22 08.24,-69 29 34.43
,104,05 22 09.06,-69 27 39.34
,105,05 22 09.17,-69 30 42.63
,106,05 22 09.40,-69 29 33.51
